ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
77378,Brassicaceae,Nerisyrenia,Árbol,Blanca
9904,Iridaceae,Nemastylis,Árbol,Morada
141293,Ulmaceae,Celtis,Árbol,Violeta
88913,Cactaceae,Opuntia,Árbol,Amarilla
132775,Rubiaceae,Stenotis,Arbusto,Ausente
96873,Apocynaceae,Funastrum,Arbusto,Rosa
134539,Anacardiaceae,Rhus,Árbol,Blanca
44804,Apiaceae,Lomatium,Árbol,Amarilla
114696,Euphorbiaceae,Euphorbia,Árbol,Blanca
124588,Plantaginaceae,Penstemon,Árbol,Azul
79264,Amaranthaceae,Amaranthus,Árbol,Verde
99252,Apocynaceae,Vallesia,Árbol,Blanca
5594,Bromeliaceae,Tillandsia,Árbol,Morada
2021,Asparagaceae,Agave,Árbol,Amarillenta
134567,Anacardiaceae,Rhus,Árbol,Blanca
139306,Solanaceae,Physalis,Árbol,Rosa
102149,Acanthaceae,Justicia,Árbol,Anaranjadas
75502,Boraginaceae,Tiquilia,Árbol,Blanca
130327,Rhizophoraceae,Rhizophora,Arbusto,Blanca
1651,Asparagaceae,Agave,Árbol,Amarillenta
118524,Malvaceae,Abutilon,Arbusto,Anaranjadas
4349,Asparagaceae,Nolina,Árbol,Amarilla
80075,Amaranthaceae,Atriplex,Arbusto,Blanca
1629,Asparagaceae,Agave,Árbol,Amarillenta
3237,Asparagaceae,Agave,Árbol,Amarillenta
111327,Euphorbiaceae,Croton,Árbol,Blanca
121651,Malvaceae,Sphaeralcea,Árbol,Anaranjadas
127307,Polygonaceae,Eriogonum,Árbol,Blanca
133459,Anacardiaceae,Pachycormus,Árbol,Blanca
87105,Cactaceae,Mammillaria,Arbusto,Blanca
105522,Lamiaceae,Salvia,Arbusto,Café
702,Amaryllidaceae,Allium,Árbol,Blanca
95604,Apocynaceae,Asclepias,Árbol,Blanca
2306,Asparagaceae,Agave,Árbol,Amarillenta
118618,Malvaceae,Abutilon,Arbusto,Anaranjadas
114160,Euphorbiaceae,Euphorbia,Arbusto,Amarilla
4869,Asparagaceae,Yucca,Arbusto,Amarillenta
131475,Rubiaceae,Borreria,Arbusto,Blanca
75887,Boraginaceae,Tiquilia,Árbol,Rosa
97222,Apocynaceae,Mandevilla,Árbol,Blanca
119816,Malvaceae,Hibiscus,Arbusto,Lila
139193,Solanaceae,Petunia,Árbol,Rosa
